method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss,n_params
PerGroupOnly,42,g2,2338,0.76818,0.61662,0.46247,0.26571,0.19676,30818
PerGroupOnly,1337,g0,533,0.67542,0.56777,0.51711,0.31375,0.20337,30818
PerGroupOnly,1337,g1,530,0.72264,0.57699,0.43069,0.27642,0.15426,30818
PerGroupOnly,1337,g2,2338,0.69376,0.57497,0.46845,0.26571,0.20274,30818
PerGroupOnly,7,g0,533,0.66604,0.56281,0.50868,0.31375,0.19493,30818
PerGroupOnly,7,g1,530,0.70943,0.56127,0.49054,0.27642,0.21412,30818
PerGroupOnly,7,g2,2338,0.68221,0.56357,0.5138,0.26571,0.24808,30818
PerGroupOnly,2024,g0,533,0.72983,0.60817,0.46134,0.31375,0.14759,30818
PerGroupOnly,2024,g1,530,0.74717,0.5963,0.4084,0.27642,0.13198,30818
PerGroupOnly,2024,g2,2338,0.713,0.5837,0.47832,0.26571,0.21261,30818
PerGroupOnly,31337,g0,533,0.68293,0.57564,0.50321,0.31375,0.18946,30818
PerGroupOnly,31337,g1,530,0.69245,0.56735,0.49176,0.27642,0.21534,30818
PerGroupOnly,31337,g2,2338,0.72027,0.58822,0.44839,0.26571,0.18267,30818
PerGroupOnly,11,g0,533,0.67542,0.57407,0.54085,0.31375,0.22711,30818
PerGroupOnly,11,g1,530,0.7283,0.57845,0.44962,0.27642,0.1732,30818
PerGroupOnly,11,g2,2338,0.7207,0.59146,0.4572,0.26571,0.19149,30818
PerGroupOnly,22,g0,533,0.69606,0.57674,0.48167,0.31375,0.16792,30818
PerGroupOnly,22,g1,530,0.73019,0.58569,0.43851,0.27642,0.16209,30818
PerGroupOnly,22,g2,2338,0.70915,0.58355,0.48945,0.26571,0.22374,30818
PerGroupOnly,33,g0,533,0.69981,0.58196,0.56713,0.31375,0.25339,30818
PerGroupOnly,33,g1,530,0.74528,0.5724,0.50355,0.27642,0.22713,30818
PerGroupOnly,33,g2,2338,0.71044,0.58285,0.49368,0.26571,0.22797,30818
PerGroupOnly,44,g0,533,0.69981,0.58426,0.50878,0.31375,0.19503,30818
PerGroupOnly,44,g1,530,0.70377,0.56548,0.47499,0.27642,0.19857,30818
PerGroupOnly,44,g2,2338,0.72541,0.59577,0.47098,0.26571,0.20527,30818
PerGroupOnly,55,g0,533,0.66792,0.56422,0.54982,0.31375,0.23607,30818
PerGroupOnly,55,g1,530,0.72075,0.57836,0.50904,0.27642,0.23262,30818
PerGroupOnly,55,g2,2338,0.71172,0.58442,0.44341,0.26571,0.1777,30818
Shared_GDRO,42,g0,533,0.73546,0.60284,0.44548,0.31375,0.13174,11426
Shared_GDRO,42,g1,530,0.77358,0.60877,0.38174,0.27642,0.10532,11426
Shared_GDRO,42,g2,2338,0.74423,0.60061,0.43178,0.26571,0.16607,11426
Shared_GDRO,1337,g0,533,0.70169,0.59664,0.48946,0.31375,0.17571,11426
Shared_GDRO,1337,g1,530,0.73396,0.58578,0.43248,0.27642,0.15606,11426
Shared_GDRO,1337,g2,2338,0.69418,0.56984,0.4899,0.26571,0.22419,11426
Shared_GDRO,7,g0,533,0.70732,0.5878,0.4622,0.31375,0.14845,11426
Shared_GDRO,7,g1,530,0.7566,0.60097,0.40073,0.27642,0.12431,11426
Shared_GDRO,7,g2,2338,0.72327,0.58516,0.45129,0.26571,0.18557,11426
Shared_GDRO,2024,g0,533,0.72983,0.60332,0.44618,0.31375,0.13243,11426
Shared_GDRO,2024,g1,530,0.76981,0.59884,0.39628,0.27642,0.11985,11426
Shared_GDRO,2024,g2,2338,0.73439,0.59142,0.43867,0.26571,0.17296,11426
Shared_GDRO,31337,g0,533,0.72983,0.61052,0.45465,0.31375,0.1409,11426
Shared_GDRO,31337,g1,530,0.76604,0.60565,0.39495,0.27642,0.11853,11426
Shared_GDRO,31337,g2,2338,0.73524,0.59463,0.44976,0.26571,0.18405,11426
Shared_GDRO,11,g0,533,0.72045,0.60289,0.4583,0.31375,0.14455,11426
Shared_GDRO,11,g1,530,0.76981,0.61513,0.39992,0.27642,0.1235,11426
Shared_GDRO,11,g2,2338,0.72327,0.5882,0.45711,0.26571,0.1914,11426
Shared_GDRO,22,g0,533,0.74109,0.6048,0.4441,0.31375,0.13035,11426
Shared_GDRO,22,g1,530,0.77925,0.5959,0.38761,0.27642,0.11119,11426
Shared_GDRO,22,g2,2338,0.74209,0.5855,0.43431,0.26571,0.1686,11426
Shared_GDRO,33,g0,533,0.73546,0.59208,0.4371,0.31375,0.12335,11426
Shared_GDRO,33,g1,530,0.79623,0.62871,0.37161,0.27642,0.09519,11426
Shared_GDRO,33,g2,2338,0.76219,0.60742,0.41427,0.26571,0.14856,11426
Shared_GDRO,44,g0,533,0.70169,0.59239,0.45548,0.31375,0.14173,11426
Shared_GDRO,44,g1,530,0.74906,0.59783,0.39756,0.27642,0.12113,11426
Shared_GDRO,44,g2,2338,0.71215,0.5813,0.45114,0.26571,0.18543,11426
Shared_GDRO,55,g0,533,0.72233,0.6067,0.45856,0.31375,0.14482,11426
Shared_GDRO,55,g1,530,0.75849,0.59293,0.39908,0.27642,0.12266,11426
Shared_GDRO,55,g2,2338,0.7207,0.58377,0.44932,0.26571,0.18361,11426
GroupDRO,42,g0,533,0.71482,0.59372,0.4955,0.31375,0.18175,30818
GroupDRO,42,g1,530,0.72264,0.56509,0.42499,0.27642,0.14857,30818
GroupDRO,42,g2,2338,0.71942,0.58578,0.45947,0.26571,0.19376,30818
GroupDRO,1337,g0,533,0.70544,0.58157,0.48578,0.31375,0.17203,30818
GroupDRO,1337,g1,530,0.78302,0.60646,0.38846,0.27642,0.11204,30818
GroupDRO,1337,g2,2338,0.70787,0.58311,0.45325,0.26571,0.18753,30818
GroupDRO,7,g0,533,0.70356,0.58719,0.52971,0.31375,0.21596,30818
GroupDRO,7,g1,530,0.72642,0.56792,0.47876,0.27642,0.20234,30818
GroupDRO,7,g2,2338,0.70188,0.57626,0.4754,0.26571,0.20969,30818
GroupDRO,2024,g0,533,0.71857,0.59906,0.53015,0.31375,0.2164,30818
GroupDRO,2024,g1,530,0.77925,0.59209,0.47631,0.27642,0.19988,30818
GroupDRO,2024,g2,2338,0.74166,0.60168,0.4556,0.26571,0.18989,30818
GroupDRO,31337,g0,533,0.70169,0.58798,0.46977,0.31375,0.15603,30818
GroupDRO,31337,g1,530,0.69811,0.57162,0.47861,0.27642,0.20219,30818
GroupDRO,31337,g2,2338,0.69974,0.57574,0.46463,0.26571,0.19891,30818
GroupDRO,11,g0,533,0.70356,0.59169,0.49157,0.31375,0.17783,30818
GroupDRO,11,g1,530,0.75283,0.59478,0.42919,0.27642,0.15277,30818
GroupDRO,11,g2,2338,0.70915,0.58577,0.4904,0.26571,0.22468,30818
GroupDRO,22,g0,533,0.70732,0.5878,0.49477,0.31375,0.18102,30818
GroupDRO,22,g1,530,0.72264,0.57699,0.44975,0.27642,0.17332,30818
GroupDRO,22,g2,2338,0.69846,0.57911,0.50613,0.26571,0.24042,30818
GroupDRO,33,g0,533,0.76735,0.63751,0.45253,0.31375,0.13878,30818
GroupDRO,33,g1,530,0.74151,0.61099,0.48889,0.27642,0.21247,30818
GroupDRO,33,g2,2338,0.69718,0.57651,0.49631,0.26571,0.23059,30818
GroupDRO,44,g0,533,0.72983,0.60577,0.46077,0.31375,0.14703,30818
GroupDRO,44,g1,530,0.73208,0.5722,0.43336,0.27642,0.15693,30818
GroupDRO,44,g2,2338,0.73011,0.59661,0.46449,0.26571,0.19878,30818
GroupDRO,55,g0,533,0.67542,0.55884,0.50886,0.31375,0.19511,30818
GroupDRO,55,g1,530,0.76038,0.60095,0.42955,0.27642,0.15312,30818
GroupDRO,55,g2,2338,0.72926,0.59593,0.44535,0.26571,0.17963,30818
Shared_Anchors,42,g0,533,0.71482,0.59837,0.4677,0.31375,0.15395,11426
Shared_Anchors,42,g1,530,0.7566,0.59785,0.40338,0.27642,0.12696,11426
Shared_Anchors,42,g2,2338,0.73695,0.59849,0.45602,0.26571,0.1903,11426
Shared_Anchors,1337,g0,533,0.7242,0.60593,0.47912,0.31375,0.16538,11426
Shared_Anchors,1337,g1,530,0.75283,0.59788,0.42207,0.27642,0.14564,11426
Shared_Anchors,1337,g2,2338,0.72669,0.58846,0.47583,0.26571,0.21012,11426
Shared_Anchors,7,g0,533,0.81238,0.63969,0.37319,0.31375,0.05944,11426
Shared_Anchors,7,g1,530,0.86226,0.63845,0.31617,0.27642,0.03975,11426
Shared_Anchors,7,g2,2338,0.83148,0.63469,0.3509,0.26571,0.08519,11426
Shared_Anchors,2024,g0,533,0.71482,0.59372,0.50404,0.31375,0.19029,11426
Shared_Anchors,2024,g1,530,0.77358,0.62144,0.46752,0.27642,0.1911,11426
Shared_Anchors,2024,g2,2338,0.7207,0.58255,0.51042,0.26571,0.2447,11426
Shared_Anchors,31337,g0,533,0.73171,0.60235,0.45182,0.31375,0.13807,11426
Shared_Anchors,31337,g1,530,0.77925,0.61362,0.38886,0.27642,0.11244,11426
Shared_Anchors,31337,g2,2338,0.7438,0.59438,0.44377,0.26571,0.17806,11426
Shared_Anchors,11,g0,533,0.72608,0.60511,0.51851,0.31375,0.20476,11426
Shared_Anchors,11,g1,530,0.77547,0.61366,0.47834,0.27642,0.20192,11426
Shared_Anchors,11,g2,2338,0.7207,0.58193,0.52397,0.26571,0.25826,11426
Shared_Anchors,22,g0,533,0.74859,0.61626,0.44109,0.31375,0.12734,11426
Shared_Anchors,22,g1,530,0.79245,0.62183,0.38273,0.27642,0.1063,11426
Shared_Anchors,22,g2,2338,0.7562,0.60313,0.43571,0.26571,0.17,11426
Shared_Anchors,33,g0,533,0.77111,0.62742,0.42518,0.31375,0.11144,11426
Shared_Anchors,33,g1,530,0.79245,0.60715,0.36308,0.27642,0.08665,11426
Shared_Anchors,33,g2,2338,0.76775,0.61069,0.41285,0.26571,0.14714,11426
Shared_Anchors,44,g0,533,0.74109,0.61255,0.44932,0.31375,0.13557,11426
Shared_Anchors,44,g1,530,0.7717,0.60383,0.38977,0.27642,0.11335,11426
Shared_Anchors,44,g2,2338,0.74765,0.60595,0.44143,0.26571,0.17571,11426
Shared_Anchors,55,g0,533,0.73358,0.60387,0.46635,0.31375,0.15261,11426
Shared_Anchors,55,g1,530,0.78113,0.61187,0.40157,0.27642,0.12515,11426
Shared_Anchors,55,g2,2338,0.74251,0.59922,0.452,0.26571,0.18629,11426
AnchorsOnly,42,g0,533,0.71107,0.59075,0.52738,0.31375,0.21363,30818
AnchorsOnly,42,g1,530,0.69245,0.55709,0.48192,0.27642,0.20549,30818
AnchorsOnly,42,g2,2338,0.73952,0.59552,0.44854,0.26571,0.18282,30818
AnchorsOnly,1337,g0,533,0.72233,0.5997,0.49651,0.31375,0.18276,30818
AnchorsOnly,1337,g1,530,0.76792,0.60399,0.42565,0.27642,0.14922,30818
AnchorsOnly,1337,g2,2338,0.76946,0.61635,0.40149,0.26571,0.13578,30818
AnchorsOnly,7,g0,533,0.72608,0.59781,0.54035,0.31375,0.2266,30818
AnchorsOnly,7,g1,530,0.74717,0.57385,0.49784,0.27642,0.22142,30818
AnchorsOnly,7,g2,2338,0.73781,0.59415,0.47782,0.26571,0.2121,30818
AnchorsOnly,2024,g0,533,0.80863,0.6591,0.55864,0.31375,0.24489,30818
AnchorsOnly,2024,g1,530,0.83019,0.62042,0.5406,0.27642,0.26417,30818
AnchorsOnly,2024,g2,2338,0.74636,0.59375,0.55424,0.26571,0.28852,30818
AnchorsOnly,31337,g0,533,0.74296,0.60365,0.44774,0.31375,0.13399,30818
AnchorsOnly,31337,g1,530,0.73208,0.59545,0.48317,0.27642,0.20675,30818
AnchorsOnly,31337,g2,2338,0.75235,0.60598,0.42709,0.26571,0.16138,30818
AnchorsOnly,11,g0,533,0.68856,0.57997,0.52281,0.31375,0.20907,30818
AnchorsOnly,11,g1,530,0.72453,0.56336,0.4714,0.27642,0.19498,30818
AnchorsOnly,11,g2,2338,0.75406,0.61254,0.44089,0.26571,0.17518,30818
AnchorsOnly,22,g0,533,0.71295,0.59458,0.47244,0.31375,0.1587,30818
AnchorsOnly,22,g1,530,0.71132,0.56555,0.48522,0.27642,0.20879,30818
AnchorsOnly,22,g2,2338,0.71471,0.58732,0.48866,0.26571,0.22294,30818
AnchorsOnly,33,g0,533,0.74672,0.62695,0.47962,0.31375,0.16587,30818
AnchorsOnly,33,g1,530,0.78113,0.61857,0.43692,0.27642,0.1605,30818
AnchorsOnly,33,g2,2338,0.73824,0.5989,0.46034,0.26571,0.19463,30818
AnchorsOnly,44,g0,533,0.69981,0.58652,0.53843,0.31375,0.22468,30818
AnchorsOnly,44,g1,530,0.76226,0.59601,0.44691,0.27642,0.17049,30818
AnchorsOnly,44,g2,2338,0.76775,0.61626,0.42964,0.26571,0.16393,30818
AnchorsOnly,55,g0,533,0.6773,0.57134,0.57501,0.31375,0.26127,30818
AnchorsOnly,55,g1,530,0.72453,0.56958,0.5034,0.27642,0.22698,30818
AnchorsOnly,55,g2,2338,0.71172,0.5798,0.49327,0.26571,0.22755,30818
Shared_Anchors_GDRO,42,g0,533,0.75235,0.6168,0.43658,0.31375,0.12283,11426
Shared_Anchors_GDRO,42,g1,530,0.8,0.62144,0.36733,0.27642,0.09091,11426
Shared_Anchors_GDRO,42,g2,2338,0.76861,0.60782,0.41572,0.26571,0.15,11426
Shared_Anchors_GDRO,1337,g0,533,0.73358,0.60883,0.46402,0.31375,0.15027,11426
Shared_Anchors_GDRO,1337,g1,530,0.77925,0.59961,0.39673,0.27642,0.12031,11426
Shared_Anchors_GDRO,1337,g2,2338,0.74808,0.60181,0.44331,0.26571,0.17759,11426
Shared_Anchors_GDRO,7,g0,533,0.73171,0.61206,0.47186,0.31375,0.15812,11426
Shared_Anchors_GDRO,7,g1,530,0.76792,0.61041,0.40756,0.27642,0.13114,11426
Shared_Anchors_GDRO,7,g2,2338,0.72968,0.5877,0.46018,0.26571,0.19447,11426
Shared_Anchors_GDRO,2024,g0,533,0.82364,0.65077,0.42742,0.31375,0.11367,11426
Shared_Anchors_GDRO,2024,g1,530,0.85283,0.62809,0.39465,0.27642,0.11823,11426
Shared_Anchors_GDRO,2024,g2,2338,0.82121,0.60816,0.42598,0.26571,0.16026,11426
Shared_Anchors_GDRO,31337,g0,533,0.75422,0.61017,0.41938,0.31375,0.10564,11426
Shared_Anchors_GDRO,31337,g1,530,0.80377,0.62111,0.35413,0.27642,0.07771,11426
Shared_Anchors_GDRO,31337,g2,2338,0.77074,0.60518,0.40453,0.26571,0.13882,11426
Shared_Anchors_GDRO,11,g0,533,0.76548,0.6197,0.41553,0.31375,0.10178,11426
Shared_Anchors_GDRO,11,g1,530,0.80943,0.63016,0.35742,0.27642,0.081,11426
Shared_Anchors_GDRO,11,g2,2338,0.78101,0.62358,0.4085,0.26571,0.14279,11426
Shared_Anchors_GDRO,22,g0,533,0.74296,0.6141,0.44707,0.31375,0.13332,11426
Shared_Anchors_GDRO,22,g1,530,0.79245,0.59514,0.39083,0.27642,0.11441,11426
Shared_Anchors_GDRO,22,g2,2338,0.76989,0.61463,0.43456,0.26571,0.16885,11426
Shared_Anchors_GDRO,33,g0,533,0.77861,0.63405,0.41341,0.31375,0.09966,11426
Shared_Anchors_GDRO,33,g1,530,0.80943,0.62242,0.35805,0.27642,0.08163,11426
Shared_Anchors_GDRO,33,g2,2338,0.784,0.61423,0.39825,0.26571,0.13253,11426
Shared_Anchors_GDRO,44,g0,533,0.78049,0.63284,0.40652,0.31375,0.09277,11426
Shared_Anchors_GDRO,44,g1,530,0.81887,0.61872,0.35436,0.27642,0.07793,11426
Shared_Anchors_GDRO,44,g2,2338,0.78914,0.61475,0.39805,0.26571,0.13233,11426
Shared_Anchors_GDRO,55,g0,533,0.74859,0.61099,0.48064,0.31375,0.16689,11426
Shared_Anchors_GDRO,55,g1,530,0.8,0.62868,0.44578,0.27642,0.16935,11426
Shared_Anchors_GDRO,55,g2,2338,0.77459,0.6092,0.48072,0.26571,0.21501,11426
Ours_GDRO,42,g0,533,0.72983,0.60083,0.50001,0.31375,0.18627,30818
Ours_GDRO,42,g1,530,0.76038,0.58419,0.39061,0.27642,0.11419,30818
Ours_GDRO,42,g2,2338,0.75877,0.60663,0.41295,0.26571,0.14723,30818
Ours_GDRO,1337,g0,533,0.7242,0.58861,0.48685,0.31375,0.1731,30818
Ours_GDRO,1337,g1,530,0.79245,0.61096,0.40018,0.27642,0.12376,30818
Ours_GDRO,1337,g2,2338,0.74423,0.60808,0.45115,0.26571,0.18543,30818
Ours_GDRO,7,g0,533,0.73546,0.61037,0.50258,0.31375,0.18883,30818
Ours_GDRO,7,g1,530,0.8,0.59295,0.4666,0.27642,0.19018,30818
Ours_GDRO,7,g2,2338,0.72754,0.58476,0.48576,0.26571,0.22004,30818
Ours_GDRO,2024,g0,533,0.86492,0.60273,0.47026,0.31375,0.15651,30818
Ours_GDRO,2024,g1,530,0.87547,0.60721,0.44394,0.27642,0.16751,30818
Ours_GDRO,2024,g2,2338,0.83618,0.60353,0.59239,0.26571,0.32668,30818
Ours_GDRO,31337,g0,533,0.77861,0.63405,0.40794,0.31375,0.09419,30818
Ours_GDRO,31337,g1,530,0.76981,0.61202,0.43175,0.27642,0.15532,30818
Ours_GDRO,31337,g2,2338,0.75749,0.61025,0.42201,0.26571,0.1563,30818
Ours_GDRO,11,g0,533,0.69981,0.59722,0.56317,0.31375,0.24942,30818
Ours_GDRO,11,g1,530,0.79245,0.60325,0.5008,0.27642,0.22438,30818
Ours_GDRO,11,g2,2338,0.78956,0.60332,0.6027,0.26571,0.33699,30818
Ours_GDRO,22,g0,533,0.73358,0.60638,0.51117,0.31375,0.19742,30818
Ours_GDRO,22,g1,530,0.83774,0.63729,0.423,0.27642,0.14657,30818
Ours_GDRO,22,g2,2338,0.73396,0.58722,0.59057,0.26571,0.32486,30818
Ours_GDRO,33,g0,533,0.7636,0.62906,0.43945,0.31375,0.12571,30818
Ours_GDRO,33,g1,530,0.81132,0.59819,0.36407,0.27642,0.08765,30818
Ours_GDRO,33,g2,2338,0.73867,0.598,0.46832,0.26571,0.20261,30818
Ours_GDRO,44,g0,533,0.74672,0.61724,0.47817,0.31375,0.16443,30818
Ours_GDRO,44,g1,530,0.78302,0.60646,0.41261,0.27642,0.13619,30818
Ours_GDRO,44,g2,2338,0.74251,0.60546,0.46168,0.26571,0.19596,30818
Ours_GDRO,55,g0,533,0.7242,0.59631,0.52744,0.31375,0.21369,30818
Ours_GDRO,55,g1,530,0.73019,0.5799,0.57989,0.27642,0.30347,30818
Ours_GDRO,55,g2,2338,0.80881,0.60819,0.59914,0.26571,0.33343,30818
RegretDRO,42,g0,533,0.71295,0.58985,0.49664,0.31375,0.18289,30818
RegretDRO,42,g1,530,0.72264,0.56509,0.42912,0.27642,0.1527,30818
RegretDRO,42,g2,2338,0.69418,0.57689,0.45551,0.26571,0.1898,30818
RegretDRO,1337,g0,533,0.68668,0.56959,0.49522,0.31375,0.18148,30818
RegretDRO,1337,g1,530,0.78113,0.6084,0.39532,0.27642,0.1189,30818
RegretDRO,1337,g2,2338,0.70744,0.58499,0.46208,0.26571,0.19637,30818
RegretDRO,7,g0,533,0.71295,0.59458,0.50847,0.31375,0.19472,30818
RegretDRO,7,g1,530,0.76038,0.5806,0.47459,0.27642,0.19817,30818
RegretDRO,7,g2,2338,0.7083,0.58063,0.49114,0.26571,0.22543,30818
RegretDRO,2024,g0,533,0.7242,0.60121,0.51398,0.31375,0.20023,30818
RegretDRO,2024,g1,530,0.83019,0.60015,0.39644,0.27642,0.12002,30818
RegretDRO,2024,g2,2338,0.73824,0.59952,0.44287,0.26571,0.17716,30818
RegretDRO,31337,g0,533,0.71857,0.60138,0.45894,0.31375,0.14519,30818
RegretDRO,31337,g1,530,0.71321,0.5832,0.47354,0.27642,0.19711,30818
RegretDRO,31337,g2,2338,0.70573,0.57978,0.46337,0.26571,0.19765,30818
RegretDRO,11,g0,533,0.70356,0.59388,0.49827,0.31375,0.18452,30818
RegretDRO,11,g1,530,0.76038,0.59447,0.42607,0.27642,0.14965,30818
RegretDRO,11,g2,2338,0.71001,0.58589,0.49193,0.26571,0.22621,30818
RegretDRO,22,g0,533,0.69418,0.57762,0.49697,0.31375,0.18322,30818
RegretDRO,22,g1,530,0.71132,0.56838,0.46945,0.27642,0.19303,30818
RegretDRO,22,g2,2338,0.69974,0.5801,0.50283,0.26571,0.23711,30818
RegretDRO,33,g0,533,0.7636,0.63422,0.4512,0.31375,0.13745,30818
RegretDRO,33,g1,530,0.74151,0.61099,0.48638,0.27642,0.20996,30818
RegretDRO,33,g2,2338,0.70017,0.57935,0.49393,0.26571,0.22822,30818
RegretDRO,44,g0,533,0.70356,0.58719,0.47767,0.31375,0.16393,30818
RegretDRO,44,g1,530,0.73962,0.57477,0.42569,0.27642,0.14926,30818
RegretDRO,44,g2,2338,0.7237,0.59326,0.47018,0.26571,0.20446,30818
RegretDRO,55,g0,533,0.69794,0.57818,0.50119,0.31375,0.18744,30818
RegretDRO,55,g1,530,0.76792,0.60724,0.43826,0.27642,0.16183,30818
RegretDRO,55,g2,2338,0.72498,0.59311,0.45378,0.26571,0.18807,30818
Ours_Regret,42,g0,533,0.72795,0.59932,0.49696,0.31375,0.18322,30818
Ours_Regret,42,g1,530,0.75472,0.58318,0.40111,0.27642,0.12468,30818
Ours_Regret,42,g2,2338,0.76133,0.60946,0.40941,0.26571,0.14369,30818
Ours_Regret,1337,g0,533,0.72233,0.58713,0.49945,0.31375,0.1857,30818
Ours_Regret,1337,g1,530,0.79434,0.60489,0.38228,0.27642,0.10585,30818
Ours_Regret,1337,g2,2338,0.74123,0.60501,0.45329,0.26571,0.18757,30818
Ours_Regret,7,g0,533,0.73171,0.61206,0.47748,0.31375,0.16373,30818
Ours_Regret,7,g1,530,0.76415,0.57611,0.4327,0.27642,0.15628,30818
Ours_Regret,7,g2,2338,0.70744,0.57709,0.52422,0.26571,0.2585,30818
Ours_Regret,2024,g0,533,0.86492,0.60273,0.47241,0.31375,0.15866,30818
Ours_Regret,2024,g1,530,0.87358,0.61265,0.44593,0.27642,0.1695,30818
Ours_Regret,2024,g2,2338,0.83576,0.60312,0.59104,0.26571,0.32533,30818
Ours_Regret,31337,g0,533,0.75797,0.61613,0.42265,0.31375,0.1089,30818
Ours_Regret,31337,g1,530,0.75849,0.60252,0.44022,0.27642,0.1638,30818
Ours_Regret,31337,g2,2338,0.7515,0.60657,0.42815,0.26571,0.16243,30818
Ours_Regret,11,g0,533,0.69981,0.59722,0.56338,0.31375,0.24963,30818
Ours_Regret,11,g1,530,0.78491,0.59681,0.50254,0.27642,0.22612,30818
Ours_Regret,11,g2,2338,0.78486,0.59931,0.6028,0.26571,0.33709,30818
Ours_Regret,22,g0,533,0.73546,0.60791,0.51218,0.31375,0.19844,30818
Ours_Regret,22,g1,530,0.83774,0.63729,0.42171,0.27642,0.14528,30818
Ours_Regret,22,g2,2338,0.73396,0.58852,0.58977,0.26571,0.32406,30818
Ours_Regret,33,g0,533,0.7636,0.62906,0.43854,0.31375,0.12479,30818
Ours_Regret,33,g1,530,0.81321,0.59507,0.36099,0.27642,0.08457,30818
Ours_Regret,33,g2,2338,0.73909,0.59897,0.46779,0.26571,0.20208,30818
Ours_Regret,44,g0,533,0.75235,0.6168,0.4355,0.31375,0.12175,30818
Ours_Regret,44,g1,530,0.7566,0.58808,0.4379,0.27642,0.16148,30818
Ours_Regret,44,g2,2338,0.73482,0.60159,0.47039,0.26571,0.20468,30818
Ours_Regret,55,g0,533,0.72233,0.59728,0.5316,0.31375,0.21785,30818
Ours_Regret,55,g1,530,0.73396,0.58284,0.57784,0.27642,0.30142,30818
Ours_Regret,55,g2,2338,0.80753,0.60704,0.59842,0.26571,0.33271,30818
